title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
15分钟哑铃全身力量塑型训练丨居家无氧就练它，超虐 巨酸爽,刘元,1106,49431,522450287,BV1yu411r7HR,https://www.bilibili.com/video/BV1yu411r7HR,https://space.bilibili.com/522450287,刘元,2,15004,25394,806584,0
不致死   但要命,安安才没有黄,21388,248106,17296922,BV1d3411A7Q2,https://www.bilibili.com/video/BV1d3411A7Q2,https://space.bilibili.com/17296922,安安才没有黄,316,226665,4150266,67536777,359
ins是不可能ins的 东北人怎么可能ins,侯翠翠,28650,774879,1458143131,BV1tv4y1K7wF,https://www.bilibili.com/video/BV1tv4y1K7wF,https://space.bilibili.com/1458143131,侯翠翠,5,297710,973455,25801385,0
论人在无聊的时候，洞察力会有多敏锐！,笑点有点低哦,113862,2676139,158673680,BV1pu41167wv,https://www.bilibili.com/video/BV1pu41167wv,https://space.bilibili.com/158673680,笑点有点低哦,8,105631,9772641,350604228,0
每天坚持做这两个动作，促进膝盖产生滑液，实现膝盖自我修复能力,虎兔运动吧,1130,38211,423521182,BV1vB4y1y7ug,https://www.bilibili.com/video/BV1vB4y1y7ug,https://space.bilibili.com/423521182,虎兔运动吧,7,43404,105783,2592041,1621
【安娜·谢尔巴科娃】千金语录合集｜花滑混剪｜中俄双语对照,俄语不咸鱼,2784,23337,649640095,BV1hS4y1h7ww,https://www.bilibili.com/video/BV1hS4y1h7ww,https://space.bilibili.com/649640095,俄语不咸鱼,95,7493,208315,2870744,118
这道菜把我好吃哭了，客家菜里面的王炸级菜单,在下猪肉佬,15972,132672,401807880,BV1Fr4y1b7tJ,https://www.bilibili.com/video/BV1Fr4y1b7tJ,https://space.bilibili.com/401807880,在下猪肉佬,2,261793,2471575,34224195,0
恒大暴雷后的“遗产”400/月的度假房，真实入住体验。,轻徙鸟,15845,688072,517346060,BV1bT4y1z7Mi,https://www.bilibili.com/video/BV1bT4y1z7Mi,https://space.bilibili.com/517346060,轻徙鸟,6,152184,182515,6344301,0
“他是这样骄傲的一个人，哪怕是被碾碎被轧压匍匐在地的时候，也从未放下过这份骄傲”,hhhmmmy,7030,50171,1844343851,BV1pS4y1w7PV,https://www.bilibili.com/video/BV1pS4y1w7PV,https://space.bilibili.com/1844343851,hhhmmmy,60,6633,1313187,12341027,0
和糖妈咪在一起生活是什么样的体验,internet-boy,8212,121338,415403269,BV1uY4y1t7bw,https://www.bilibili.com/video/BV1uY4y1t7bw,https://space.bilibili.com/415403269,internet-boy,0,949874,43359259,689573350,10736
